Well,Omit,Sample,Target,Task,Dyes,Cq,Cq Conf,Amp Score,Amp Status,Annotated,Baseline Start,Baseline End,Tm1,Tm2,Tm3,Tm4,Curve Quality,Result Quality Issues
C5,FALSE,media_P_dnase_2_T12,1,Unknown,SYBR,29.333595,0.994511017091815,,Amp,FALSE,0,0,73.68491,,,,,
C6,FALSE,media_P_dnase_3_T12,1,Unknown,SYBR,29.451647,0.9843782139477090,,Amp,FALSE,0,0,73.68491,,,,,
C7,FALSE,media_P_1_T12,1,Unknown,SYBR,26.359865,0.8947471027621700,,Amp,FALSE,0,0,73.68491,,,,,
C8,FALSE,media_P_2_T12,1,Unknown,SYBR,26.52832,0.9613054690972050,,Amp,FALSE,0,0,73.57274,,,,,
C9,FALSE,media_P_3_T12,1,Unknown,SYBR,26.317377,0.9197842265429020,,Amp,FALSE,0,0,73.57318,,,,,
C10,FALSE,Bd_sup_1_T0,1,Unknown,SYBR,33.222305,0.9774097360398310,,Amp,FALSE,0,0,74.2462,,,,,
C11,FALSE,Bd_sup_2_T0,1,Unknown,SYBR,38.36711,0.7994799418633680,,No Amp,FALSE,0,0,73.124504,,,,,
C12,FALSE,Bd_sup_3_T0,1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,60.337112,,,,,
C13,FALSE,Bd_P_dnase_1_T36,1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,60.0002,,,,,
C14,FALSE,Bd_P_dnase_2_T36,1,Unknown,SYBR,19.95525,0,,Amp,FALSE,0,0,73.45995,,,,,
C15,FALSE,Bd_P_dnase_3_T36,1,Unknown,SYBR,24.445135,0.10947824879669900,,Amp,FALSE,0,0,73.45995,,,,,
C16,FALSE,media_P_dnase_1_T36,1,Unknown,SYBR,29.852789,0.982130003788406,,Amp,FALSE,0,0,73.68428,,,,,
C17,FALSE,media_P_dnase_2_T36,1,Unknown,SYBR,29.004232,0.9891844533457380,,Amp,FALSE,0,0,73.575195,,,,,
C18,FALSE,media_P_dnase_3_T36,1,Unknown,SYBR,29.592651,0.9784783287714390,,Amp,FALSE,0,0,73.687386,,,,,
C19,FALSE,media_P_1_T36,1,Unknown,SYBR,25.510574,0.9534972732979820,,Amp,FALSE,0,0,73.46301,,,,,
C20,FALSE,media_P_2_T36,1,Unknown,SYBR,25.655138,0.8038846836676320,,Amp,FALSE,0,0,73.687386,,,,,
C21,FALSE,media_P_3_T36,1,Unknown,SYBR,25.018225,0.7798417909847300,,Amp,FALSE,0,0,73.68756,,,,,
C22,FALSE,Bd_sup_1_T24,1,Unknown,SYBR,31.043169,0.9805884734045910,,Amp,FALSE,0,0,73.46318,,,,,
C23,FALSE,Bd_sup_2_T24,1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,60.0003,,,,,
C24,FALSE,Bd_sup_3_T24,1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,60.0003,,,,,
D1,FALSE,Bd_P_dnase_1_T12,1,Unknown,SYBR,29.791498,0.9584917876598350,,Amp,FALSE,0,0,73.34982,,,,,
D2,FALSE,Bd_P_dnase_2_T12,1,Unknown,SYBR,32.263107,0.4536844103223910,,No Amp,FALSE,0,0,73.57419,,,,,
D3,FALSE,Bd_P_dnase_3_T12,1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,60.224762,,,,,
D4,FALSE,media_P_dnase_1_T12,1,Unknown,SYBR,28.599903,0.9849041816848070,,Amp,FALSE,0,0,73.57419,,,,,
D5,FALSE,media_P_dnase_2_T12,1,Unknown,SYBR,28.56196,0.989417707668643,,Amp,FALSE,0,0,73.68491,,,,,
D6,FALSE,media_P_dnase_3_T12,1,Unknown,SYBR,28.916903,0.9888457663070090,,Amp,FALSE,0,0,73.68491,,,,,
D7,FALSE,media_P_1_T12,1,Unknown,SYBR,26.37352,0.8747650268505690,,Amp,FALSE,0,0,73.57274,,,,,
D8,FALSE,media_P_2_T12,1,Unknown,SYBR,26.248182,0.8972175688354230,,Amp,FALSE,0,0,73.57274,,,,,
D9,FALSE,media_P_3_T12,1,Unknown,SYBR,26.262129,0.855163011472385,,Amp,FALSE,0,0,73.57318,,,,,
D10,FALSE,Bd_sup_1_T0,1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,60.000603,,,,,
D11,FALSE,Bd_sup_2_T0,1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,60.000603,,,,,
