Well,Omit,Sample,Target,Task,Dyes,Cq,Cq Conf,Amp Score,Amp Status,Annotated,Baseline Start,Baseline End,,,,,,
E9,FALSE,Bv+P_sup_v_pel_3_T44,Target 1,Unknown,SYBR,18.993519,0,,Amp,FALSE,0,0,,,,,,
E10,FALSE,Bd_sup_v_pel_1_T44,Target 1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,,
E11,FALSE,Bd_sup_v_pel_2_T44,Target 1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,,
E12,FALSE,Bd_sup_v_pel_3_T44,Target 1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,,
E13,FALSE,Bv_pel_1_T24,Target 1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,,
E14,FALSE,Bv_pel_2_T24,Target 1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,,
E15,FALSE,Bv_pel_3_T24,Target 1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,,
E16,FALSE,Bv+P_pel_1_T24,Target 1,Unknown,SYBR,20.523827,0,,Amp,FALSE,0,0,,,,,,
E17,FALSE,Bv+P_pel_2_T24,Target 1,Unknown,SYBR,23.844982,0,,Amp,FALSE,0,0,,,,,,
E18,FALSE,Bv+P_pel_3_T24,Target 1,Unknown,SYBR,19.695866,0,,Amp,FALSE,0,0,,,,,,
E19,FALSE,Bd_pel_1_T24,Target 1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,,
E20,FALSE,Bd_pel_2_T24,Target 1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,,
E21,FALSE,Bd_pel_3_T24,Target 1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,,
E22,FALSE,Bd+P_pel_1_T24,Target 1,Unknown,SYBR,20.402287,0,,Amp,FALSE,0,0,,,,,,
E23,FALSE,Bd+P_pel_2_T24,Target 1,Unknown,SYBR,20.38362,0,,Amp,FALSE,0,0,,,,,,
E24,FALSE,Bd+P_pel_3_T24,Target 1,Unknown,SYBR,20.205538,0,,Amp,FALSE,0,0,,,,,,
F1,FALSE,media+P_DNase_1_T44,Target 1,Unknown,SYBR,35.883102,0.9602562568212250,,Amp,FALSE,0,0,,,,,,
F2,FALSE,media+P_DNase_2_T44,Target 1,Unknown,SYBR,28.376633,0.8869002902339030,,Amp,FALSE,0,0,,,,,,
F3,FALSE,media+P_DNase_3_T44,Target 1,Unknown,SYBR,35.6463,0.9726815001031940,,Amp,FALSE,0,0,,,,,,
F4,FALSE,Bv_sup_v_pel_1_T44,Target 1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,,
F5,FALSE,Bv_sup_v_pel_2_T44,Target 1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,,
F6,FALSE,Bv_sup_v_pel_3_T44,Target 1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,,
F7,FALSE,Bv+P_sup_v_pel_1_T44,Target 1,Unknown,SYBR,23.537285,0.028178167538806500,,Amp,FALSE,0,0,,,,,,
F8,FALSE,Bv+P_sup_v_pel_2_T44,Target 1,Unknown,SYBR,21.732424,0,,Amp,FALSE,0,0,,,,,,
F9,FALSE,Bv+P_sup_v_pel_3_T44,Target 1,Unknown,SYBR,24.004896,0.09983128472374160,,Amp,FALSE,0,0,,,,,,
F10,FALSE,Bd_sup_v_pel_1_T44,Target 1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,,
F11,FALSE,Bd_sup_v_pel_2_T44,Target 1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,,
F12,FALSE,Bd_sup_v_pel_3_T44,Target 1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,,
F13,FALSE,Bv_pel_1_T24,Target 1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,,
