Well,Omit,Sample,Target,Task,Dyes,Cq,Cq Conf,Amp Score,Amp Status,Annotated,Baseline Start,Baseline End,,,,,,
H4,FALSE,std_-2,std_-2,Unknown,SYBR,8.582923,0.9740843898647020,,Amp,FALSE,0,0,,,,,,
H5,FALSE,std_-3,std_-3,Unknown,SYBR,12.403505,0.9840848081207820,,Amp,FALSE,0,0,,,,,,
H6,FALSE,std_-4,std_-4,Unknown,SYBR,16.740402,0.969362968517435,,Amp,FALSE,0,0,,,,,,
H7,FALSE,std_-5,std_-5,Unknown,SYBR,20.283318,0.9923117762404990,,Amp,FALSE,0,0,,,,,,
H8,FALSE,std_-6,std_-6,Unknown,SYBR,22.721054,0.9623402233513210,,Amp,FALSE,0,0,,,,,,
H9,FALSE,std_-7,std_-7,Unknown,SYBR,28.198408,0.9858028894048970,,Amp,FALSE,0,0,,,,,,
H10,FALSE,std_-8,std_-8,Unknown,SYBR,31.349264,0.9913286036048680,,Amp,FALSE,0,0,,,,,,
H11,FALSE,std_-9,std_-9,Unknown,SYBR,32.519684,0.988983625776191,,Amp,FALSE,0,0,,,,,,
H12,FALSE,std_-10,std_-10,Unknown,SYBR,32.25292,0.9886978829631540,,Amp,FALSE,0,0,,,,,,
H13,FALSE,Bd+P_sup_v_pel_1_T12,Bd+P_sup_v_pel_1_T12,Unknown,SYBR,21.504305,0,,Amp,FALSE,0,0,,,,,,
H14,FALSE,Bd+P_sup_v_pel_2_T12,Bd+P_sup_v_pel_2_T12,Unknown,SYBR,23.375076,0.09126390804563650,,Amp,FALSE,0,0,,,,,,
H15,FALSE,Bd+P_sup_v_pel_3_T12,Bd+P_sup_v_pel_3_T12,Unknown,SYBR,21.094496,0,,Amp,FALSE,0,0,,,,,,
H16,FALSE,0,0,Unknown,SYBR,33.09487,0.9897053820863490,,Amp,FALSE,0,0,,,,,,
H17,FALSE,std_-11,std_-11,Unknown,SYBR,32.831726,0.9873020735285160,,Amp,FALSE,0,0,,,,,,
H18,FALSE,std_-12,std_-12,Unknown,SYBR,31.625416,0.9919532274129730,,Amp,FALSE,0,0,,,,,,
